time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-06-22T16:17:33.058Z,43.8895,-128.2901,10,2.8,ml,,252,3.057,0.78,us,us600044nw,2019-09-11T15:19:31.040Z,"Off the coast of Oregon",earthquake,6.3,2,0.069,28,reviewed,us,us
2019-06-22T14:26:42.503Z,43.6792,-128.4694,10,4.6,mww,,212,3.125,0.8,us,us600044mm,2019-09-11T15:19:31.040Z,"Off the coast of Oregon",earthquake,8.7,2,0.063,24,reviewed,us,us
2019-06-22T14:14:05.166Z,43.7894,-128.4982,10,3.3,ml,,275,3.173,0.45,us,us600044ml,2019-09-11T15:19:31.040Z,"Off the coast of Oregon",earthquake,4.3,2,0.051,50,reviewed,us,us
2019-06-22T13:40:13.688Z,43.7798,-128.5184,10,4.7,mww,,181,3.184,0.71,us,us600044mf,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,8.2,1.6,0.043,52,reviewed,us,us
2019-06-22T13:37:31.034Z,43.7593,-128.5469,10,4.2,mb,,186,3.199,0.76,us,us600044mh,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,10.5,2,0.075,50,reviewed,us,us
2019-06-22T13:32:06.804Z,43.6281,-128.5519,10,4.1,mb,,201,3.172,0.78,us,us700046tc,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,10.2,2,0.173,9,reviewed,us,us
2019-06-22T13:16:09.759Z,43.61,-128.711,10,4.2,mb,,224,3.281,0.56,us,us600044m7,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,10.3,2,0.187,8,reviewed,us,us
2019-06-22T13:00:14.319Z,43.7936,-128.5192,10,5.3,mww,,165,3.189,0.85,us,us600044ly,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,4.1,1.9,0.032,94,reviewed,us,us
2019-06-22T12:58:46.474Z,43.8599,-128.2262,10,4.1,mb,,222,3.004,0.88,us,us600044lz,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,6.7,2,0.15,12,reviewed,us,us
2019-06-22T12:52:01.945Z,43.7669,-128.4022,10,5.3,mww,,168,3.1,0.95,us,us600044lu,2020-02-29T13:02:17.436Z,"Off the coast of Oregon",earthquake,5.6,1.9,0.031,97,reviewed,us,us
2019-06-22T12:45:04.930Z,43.6074,-128.3122,10,3.6,ml,,235,2.998,0.65,us,us700046tk,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,12.2,2,0.057,40,reviewed,us,us
2019-06-22T12:43:42.498Z,43.8516,-128.4773,10,4.9,mww,,183,3.175,0.92,us,us600044lt,2019-09-11T15:19:30.040Z,"Off the coast of Oregon",earthquake,3.1,1.9,0.041,58,reviewed,us,us
2019-06-21T22:03:18.795Z,43.7913,-127.8349,10,3.2,ml,,283,2.714,1.05,us,us600044hk,2019-09-11T15:19:28.040Z,"287km WNW of Bandon, Oregon",earthquake,4.8,2,0.046,62,reviewed,us,us
2019-06-21T05:23:05.624Z,43.6424,-128.3709,10,4.1,mb,,198,3.047,0.88,us,us6000442t,2019-09-11T15:19:23.040Z,"Off the coast of Oregon",earthquake,10.6,2,0.085,38,reviewed,us,us
2019-06-21T00:59:00.876Z,43.5904,-128.5139,10,4,mb,,220,3.137,0.64,us,us700046qx,2019-09-11T15:19:22.040Z,"Off the coast of Oregon",earthquake,13.1,2,0.183,8,reviewed,us,us
2019-06-11T01:48:23.998Z,43.244,-127.4197,10,2.7,ml,,240,2.291,1.07,us,us70003xyt,2019-09-06T14:25:32.040Z,"244km WNW of Port Orford, Oregon",earthquake,5.9,2,0.046,62,reviewed,us,us
2019-05-25T23:53:46.312Z,44.1369,-129.0674,10,4,mb,,212,3.644,0.63,us,us60003s7z,2019-08-13T14:30:37.040Z,"Off the coast of Oregon",earthquake,10.6,2,0.182,8,reviewed,us,us
2019-05-23T07:55:17.115Z,44.1464,-129.3155,10,3.9,mb,,228,3.823,0.61,us,us70003ta8,2019-08-13T14:30:49.040Z,"Off the coast of Oregon",earthquake,13.2,2,0.297,3,reviewed,us,us
2019-05-17T17:08:01.548Z,40.6735,-127.1801,12.66,3.3,ml,,254,2.174,0.67,us,us70003mn1,2019-08-07T22:03:45.040Z,"246km W of Ferndale, California",earthquake,5.9,9.4,0.045,64,reviewed,us,us
2019-05-09T07:14:43.195Z,40.6272,-127.3873,10,3.1,ml,,265,2.328,0.7,us,us70003iqs,2019-08-01T17:15:06.040Z,"264km W of Ferndale, California",earthquake,9.4,2,0.051,50,reviewed,us,us
2019-05-05T07:12:01.154Z,40.6137,-127.5097,10,3.2,ml,,253,2.59,0.99,us,us70003gxv,2019-07-25T18:54:20.040Z,"274km W of Ferndale, California",earthquake,11.4,2,0.048,56,reviewed,us,us
2019-05-05T06:46:57.006Z,40.6203,-127.3338,10,5,mww,,252,2.287,0.69,us,us70003gxb,2020-02-23T06:57:20.337Z,"259km W of Ferndale, California",earthquake,8.8,2,0.033,86,reviewed,us,us
2019-05-05T06:32:10.525Z,40.561,-127.6117,10,4.3,mb,,254,2.786,0.68,us,us70003gx6,2019-07-25T18:54:20.040Z,"283km W of Ferndale, California",earthquake,4.4,2,0.057,87,reviewed,us,us
2019-05-05T06:29:34.607Z,40.5934,-127.2416,10,3.3,ml,,247,2.386,0.68,us,us70003gx2,2019-07-25T18:54:20.040Z,"252km W of Ferndale, California",earthquake,9.4,2,0.046,62,reviewed,us,us
2019-05-05T04:17:20.079Z,40.5449,-127.8141,10,3.1,ml,,268,2.819,0.65,us,us70003gvp,2019-07-25T18:54:20.040Z,"300km W of Ferndale, California",earthquake,11.1,2,0.06,36,reviewed,us,us
2019-04-23T17:53:49.045Z,40.518,-127.0119,10,3.7,mwr,,198,2.207,0.88,us,us70003aud,2019-07-13T18:42:35.040Z,"232km W of Ferndale, California",earthquake,8.1,2,0.068,21,reviewed,us,us
