time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-10-22T06:22:48.120Z,49.297,-129.7237,10,6.5,mww,,68,1.692,0.71,us,us1000hfh3,2019-01-10T17:18:33.040Z,"227km SW of Port Hardy, Canada",earthquake,3.3,1.7,0.071,19,reviewed,us,us
2018-10-22T06:16:26.450Z,49.3346,-129.289,10,6.8,mww,,36,1.505,1.09,us,us1000hfgv,2019-01-10T17:18:33.040Z,"202km SW of Port Hardy, Canada",earthquake,6,1.8,0.042,55,reviewed,us,us
2018-10-22T05:39:39.590Z,49.2586,-129.4124,10,6.5,mww,,63,1.611,0.94,us,us1000hfgn,2019-01-10T17:18:33.040Z,"214km SW of Port Hardy, Canada",earthquake,4.4,1.5,0.046,46,reviewed,us,us
2018-08-21T13:10:07.490Z,50.8522,-130.1495,10,4.9,mwr,,156,1.298,0.8,us,us1000gel7,2018-11-01T17:50:53.040Z,"193km W of Port Hardy, Canada",earthquake,5.8,1.9,,,reviewed,us,pgc
2018-08-01T04:13:50.710Z,50.5547,-129.8953,10,4.3,mwr,,162,1.126,0.98,us,us2000gir2,2018-10-16T15:34:16.040Z,"175km W of Port Hardy, Canada",earthquake,8.4,2,0.086,13,reviewed,us,us
2018-07-02T04:08:10.820Z,51.2095,-131.0083,10,4.1,mwr,,210,1.091,0.9,us,us2000g9gn,2018-09-27T14:03:48.040Z,"226km WSW of Bella Bella, Canada",earthquake,6.5,2,,,reviewed,us,pgc
2018-05-10T06:36:20.090Z,49.0313,-128.8761,10,4.5,mwr,,162,1.681,0.75,us,us1000e1t4,2018-08-08T15:20:00.040Z,"213km SSW of Port Hardy, Canada",earthquake,5.9,2,,,reviewed,us,pgc
2018-04-24T17:41:17.850Z,50.6168,-129.883,10,4.3,mwr,,189,1.114,1.29,us,us1000dres,2018-07-25T21:36:26.040Z,"174km W of Port Hardy, Canada",earthquake,4.3,1.9,,,reviewed,us,pgc
2018-04-03T04:21:17.420Z,49.2457,-128.8585,10,4.4,mwr,,181,1.293,0.8,us,us1000ddgx,2018-06-30T01:11:25.040Z,"191km SSW of Port Hardy, Canada",earthquake,2.8,1.9,,,reviewed,us,pgc
2018-03-28T04:07:45.100Z,47.5769,-129.032,12.43,3.5,mwr,,255,0.351,0.61,us,us1000dqzg,2018-06-22T21:32:12.040Z,"290km SW of Tofino, Canada",earthquake,5.6,8.4,,,reviewed,us,pgc
